time	survival
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	1.0
10	1.0
11	1.0
12	1.0
13	1.0
14	1.0
15	1.0
16	1.0
17	1.0
18	1.0
19	1.0
20	1.0
21	1.0
22	1.0
23	1.0
24	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	1.0
30	1.0
31	1.0
32	1.0
33	1.0
34	1.0
35	1.0
36	1.0
37	1.0
38	1.0
39	1.0
40	1.0
41	1.0
42	1.0
43	1.0
44	1.0
45	1.0
46	1.0
47	1.0
48	1.0
49	1.0
50	1.0
51	1.0
52	1.0
53	1.0
54	1.0
55	1.0
56	1.0
57	1.0
58	1.0
59	1.0
60	1.0
61	1.0
62	1.0
63	1.0
64	1.0
65	1.0
66	1.0
67	1.0
68	1.0
69	1.0
70	1.0
71	1.0
72	1.0
73	1.0
74	1.0
75	1.0
76	1.0
77	1.0
78	1.0
79	1.0
80	1.0
81	1.0
82	1.0
83	1.0
84	1.0
85	1.0
86	1.0
87	1.0
88	1.0
89	1.0
90	1.0
91	1.0
92	1.0
93	1.0
94	1.0
95	1.0
96	0.96875
97	0.96875
98	0.96875
99	0.96875
100	0.96875
101	0.96875
102	0.96875
103	0.96875
104	0.96875
105	0.96875
106	0.96875
107	0.96875
108	0.96875
109	0.96875
110	0.96875
111	0.96875
112	0.96875
113	0.96875
114	0.96875
115	0.96875
116	0.96875
117	0.96875
118	0.96875
119	0.96875
120	0.96875
121	0.96875
122	0.96875
123	0.96875
124	0.96875
125	0.96875
126	0.96875
127	0.96875
128	0.96875
129	0.96875
130	0.96875
131	0.96875
132	0.96875
133	0.96875
134	0.96875
135	0.96875
136	0.96875
137	0.96875
138	0.96875
139	0.96875
140	0.96875
141	0.96875
142	0.96875
143	0.96875
144	0.96875
145	0.96875
146	0.96875
147	0.96875
148	0.96875
149	0.96875
150	0.96875
151	0.96875
152	0.96875
153	0.96875
154	0.96875
155	0.96875
156	0.96875
157	0.96875
158	0.96875
159	0.96875
160	0.96875
161	0.96875
162	0.96875
163	0.96875
164	0.96875
165	0.96875
166	0.96875
167	0.96875
168	0.96875
169	0.96875
170	0.96875
171	0.96875
172	0.96875
173	0.96875
174	0.96875
175	0.96875
176	0.96875
177	0.96875
178	0.96875
179	0.96875
180	0.96875
181	0.96875
182	0.96875
183	0.96875
184	0.96875
185	0.96875
186	0.96875
187	0.96875
